user_login;user_password;ad_title;ad_description;ad_post_date;city;category;ad_type;ad_status;price
user18;pass18;Продажа дома;Участок 10 соток, все коммуникации;2025-05-04;Новосибирск;Недвижимость;Продажа;Активно;21362
user9;pass9;Уборка квартир;Генеральная уборка, моем окна;2025-04-26;Москва;Услуги;Услуга;Завершено;87371
user16;pass16;Уборка квартир;Генеральная уборка, моем окна;2025-03-09;Казань;Услуги;Аренда;Завершено;85947
user19;pass19;Продам iPhone 13;Состояние отличное, полный комплект;2025-04-19;Москва;Электроника;Аренда;Активно;47780
user12;pass12;Продам ВАЗ 2107;Хорошее состояние, новая резина;2025-03-25;Екатеринбург;Авто;Аренда;Активно;51527
user5;pass5;Услуги электрика;Быстро и качественно. Гарантия.;2025-03-08;Москва;Услуги;Аренда;Активно;25184
user2;pass2;Продам ВАЗ 2107;Хорошее состояние, новая резина;2025-03-09;Санкт-Петербург;Авто;Аренда;Активно;89389
user18;pass18;Сдам квартиру;2-комнатная, рядом с метро;2025-03-28;Москва;Недвижимость;Продажа;Активно;64047
user15;pass15;Продам куртку;Новая зимняя куртка, размер M;2025-03-19;Екатеринбург;Одежда;Аренда;Активно;39483
user14;pass14;Аренда авто;Почасовая аренда, документы в порядке;2025-03-18;Новосибирск;Авто;Аренда;Активно;41496
user4;pass4;Аренда авто;Почасовая аренда, документы в порядке;2025-04-09;Санкт-Петербург;Авто;Аренда;Завершено;28813
user5;pass5;Услуги электрика;Быстро и качественно. Гарантия.;2025-03-23;Казань;Услуги;Услуга;Активно;1808
user1;pass1;Продам iPhone 13;Состояние отличное, полный комплект;2025-04-30;Санкт-Петербург;Электроника;Продажа;Завершено;26117
user16;pass16;Услуги электрика;Быстро и качественно. Гарантия.;2025-04-10;Казань;Услуги;Услуга;Активно;73353
user19;pass19;Услуги электрика;Быстро и качественно. Гарантия.;2025-03-20;Москва;Услуги;Услуга;Завершено;20177
user17;pass17;Аренда авто;Почасовая аренда, документы в порядке;2025-03-17;Новосибирск;Авто;Аренда;Активно;27648
user18;pass18;Продам куртку;Новая зимняя куртка, размер M;2025-04-30;Екатеринбург;Одежда;Аренда;Активно;10129
user18;pass18;Ноутбук Acer;Core i7, SSD 512 ГБ, как новый;2025-04-14;Новосибирск;Электроника;Продажа;Активно;29522
user6;pass6;Аренда авто;Почасовая аренда, документы в порядке;2025-03-15;Москва;Авто;Услуга;Активно;40477
user6;pass6;Джинсы мужские;Состояние хорошее, размер 32;2025-03-21;Москва;Одежда;Услуга;Завершено;50531
user15;pass15;Аренда авто;Почасовая аренда, документы в порядке;2025-04-15;Новосибирск;Авто;Продажа;Активно;60821
user4;pass4;Продажа дома;Участок 10 соток, все коммуникации;2025-05-03;Новосибирск;Недвижимость;Аренда;Активно;34058
user6;pass6;Продажа дома;Участок 10 соток, все коммуникации;2025-04-30;Казань;Недвижимость;Аренда;Завершено;31878
user17;pass17;Продам iPhone 13;Состояние отличное, полный комплект;2025-04-07;Москва;Электроника;Аренда;Завершено;61358
user12;pass12;Продам ВАЗ 2107;Хорошее состояние, новая резина;2025-03-07;Новосибирск;Авто;Продажа;Завершено;81792
user19;pass19;Услуги электрика;Быстро и качественно. Гарантия.;2025-04-24;Казань;Услуги;Услуга;Завершено;11113
user7;pass7;Аренда авто;Почасовая аренда, документы в порядке;2025-03-07;Екатеринбург;Авто;Аренда;Активно;70726
user20;pass20;Услуги электрика;Быстро и качественно. Гарантия.;2025-03-19;Москва;Услуги;Продажа;Активно;65931
user5;pass5;Уборка квартир;Генеральная уборка, моем окна;2025-03-20;Москва;Услуги;Продажа;Завершено;57170
user16;pass16;Услуги электрика;Быстро и качественно. Гарантия.;2025-04-02;Казань;Услуги;Услуга;Активно;29335
user6;pass6;Аренда авто;Почасовая аренда, документы в порядке;2025-04-26;Новосибирск;Авто;Услуга;Завершено;15509
user1;pass1;Продам куртку;Новая зимняя куртка, размер M;2025-03-11;Санкт-Петербург;Одежда;Услуга;Активно;22767
user5;pass5;Джинсы мужские;Состояние хорошее, размер 32;2025-03-08;Екатеринбург;Одежда;Продажа;Активно;1484
user7;pass7;Уборка квартир;Генеральная уборка, моем окна;2025-04-29;Екатеринбург;Услуги;Продажа;Завершено;77129
user3;pass3;Ноутбук Acer;Core i7, SSD 512 ГБ, как новый;2025-05-01;Казань;Электроника;Аренда;Активно;51598
user5;pass5;Продам iPhone 13;Состояние отличное, полный комплект;2025-03-30;Казань;Электроника;Продажа;Активно;33265
user13;pass13;Уборка квартир;Генеральная уборка, моем окна;2025-03-12;Екатеринбург;Услуги;Продажа;Завершено;95719
user10;pass10;Аренда авто;Почасовая аренда, документы в порядке;2025-04-30;Новосибирск;Авто;Продажа;Активно;88532
user13;pass13;Сдам квартиру;2-комнатная, рядом с метро;2025-03-20;Москва;Недвижимость;Продажа;Завершено;82786
user13;pass13;Уборка квартир;Генеральная уборка, моем окна;2025-03-08;Санкт-Петербург;Услуги;Услуга;Завершено;22411
user11;pass11;Аренда авто;Почасовая аренда, документы в порядке;2025-04-10;Новосибирск;Авто;Аренда;Активно;13740
user2;pass2;Аренда авто;Почасовая аренда, документы в порядке;2025-04-28;Екатеринбург;Авто;Услуга;Активно;2132
user20;pass20;Услуги электрика;Быстро и качественно. Гарантия.;2025-04-18;Новосибирск;Услуги;Услуга;Завершено;13627
user18;pass18;Уборка квартир;Генеральная уборка, моем окна;2025-04-13;Новосибирск;Услуги;Услуга;Активно;79256
user17;pass17;Продам ВАЗ 2107;Хорошее состояние, новая резина;2025-03-29;Санкт-Петербург;Авто;Услуга;Завершено;33644
user3;pass3;Продажа дома;Участок 10 соток, все коммуникации;2025-03-25;Казань;Недвижимость;Аренда;Активно;28414
user2;pass2;Ноутбук Acer;Core i7, SSD 512 ГБ, как новый;2025-04-16;Москва;Электроника;Аренда;Завершено;6426
user8;pass8;Джинсы мужские;Состояние хорошее, размер 32;2025-04-01;Новосибирск;Одежда;Аренда;Активно;10988
user2;pass2;Аренда авто;Почасовая аренда, документы в порядке;2025-04-03;Москва;Авто;Услуга;Активно;11283
user14;pass14;Сдам квартиру;2-комнатная, рядом с метро;2025-04-11;Новосибирск;Недвижимость;Аренда;Завершено;96721
